Disease,Gene,Number of Publications
Bipolar Disorder,GSK3B,33
Bipolar Disorder,GSTK1,1
Bipolar Disorder,GSTM1,3
Bipolar Disorder,GSTT1,3
Bipolar Disorder,GSTZ1,1
Bipolar Disorder,GUCY1B2,1
Bipolar Disorder,HCRTR1,2
Bipolar Disorder,HCRTR2,2
Bipolar Disorder,HES1,1
Bipolar Disorder,HFE2,1
Bipolar Disorder,HLA-A,2
Bipolar Disorder,HLA-B,5
Bipolar Disorder,HLA-C,3
Bipolar Disorder,HLA-DPA1,1
Bipolar Disorder,HLA-DPB1,3
Bipolar Disorder,HLA-DQA1,3
Bipolar Disorder,HLA-DQB1,5
Bipolar Disorder,HLA-DRB1,5
Bipolar Disorder,HLA-E,1
Bipolar Disorder,HLA-F-AS1,1
Bipolar Disorder,HLA-G,2
Bipolar Disorder,HMG20A,1
Bipolar Disorder,HMGCS2,1
Bipolar Disorder,HNF4A,1
Bipolar Disorder,HOMER1,3
Bipolar Disorder,HOMER2,1
Bipolar Disorder,HOXA1,1
Bipolar Disorder,HPSE,1
Bipolar Disorder,HSD11B1,1
Bipolar Disorder,HSD11B2,1
Bipolar Disorder,HSD3B2,2
Bipolar Disorder,HSP90B1,1
Bipolar Disorder,HSPA1L,1
Bipolar Disorder,HSPA4,1
Bipolar Disorder,HSPA5,1
Bipolar Disorder,HTR1A,12
Bipolar Disorder,HTR1B,4
Bipolar Disorder,HTR1D,1
Bipolar Disorder,HTR1E,1
Bipolar Disorder,HTR1F,1
Bipolar Disorder,HTR2A,25
Bipolar Disorder,HTR2B,1
Bipolar Disorder,HTR2C,11
Bipolar Disorder,HTR3A,4
Bipolar Disorder,HTR3B,4
Bipolar Disorder,HTR4,3
Bipolar Disorder,HTR5A,3
Bipolar Disorder,HTR6,1
Bipolar Disorder,HTR7,2
Bipolar Disorder,HTT,1
Bipolar Disorder,IDO2,1
Bipolar Disorder,IFI44L,1
Bipolar Disorder,IFNG,2
Bipolar Disorder,IFT27,1
Bipolar Disorder,IGF1,2
Bipolar Disorder,IGFBP7,1
Bipolar Disorder,IGLV5-45,1
Bipolar Disorder,IL10,1
Bipolar Disorder,IL13RA2,1
Bipolar Disorder,IL1A,2
Bipolar Disorder,IL1B,2
Bipolar Disorder,IL1RN,4
Bipolar Disorder,IL2,2
