Disease,Gene,Number of Publications
"Diabetes Mellitus, Type 2",ITLN1,7
"Diabetes Mellitus, Type 2",ITLN2,2
"Diabetes Mellitus, Type 2",ITPKB,1
"Diabetes Mellitus, Type 2",ITPR2,2
"Diabetes Mellitus, Type 2",ITPR3,1
"Diabetes Mellitus, Type 2",IVL,1
"Diabetes Mellitus, Type 2",JAG1,1
"Diabetes Mellitus, Type 2",JAK1,2
"Diabetes Mellitus, Type 2",Jak2,1
"Diabetes Mellitus, Type 2",JAK2,1
"Diabetes Mellitus, Type 2",JAK3,1
"Diabetes Mellitus, Type 2",JAM3,1
"Diabetes Mellitus, Type 2",JAZF1,58
"Diabetes Mellitus, Type 2",JMJD1C,2
"Diabetes Mellitus, Type 2",JMJD7,1
"Diabetes Mellitus, Type 2",JMJD7-PLA2G4B,1
"Diabetes Mellitus, Type 2",JPH3,1
"Diabetes Mellitus, Type 2",JUN,2
"Diabetes Mellitus, Type 2",KALRN,1
"Diabetes Mellitus, Type 2",KAT2B,1
"Diabetes Mellitus, Type 2",KATNAL1,1
"Diabetes Mellitus, Type 2",KCNA1,1
"Diabetes Mellitus, Type 2",KCNA10,1
"Diabetes Mellitus, Type 2",KCNA5,1
"Diabetes Mellitus, Type 2",KCNB1,2
"Diabetes Mellitus, Type 2",KCNC1,1
"Diabetes Mellitus, Type 2",KCNE1,2
"Diabetes Mellitus, Type 2",KCNE2,2
"Diabetes Mellitus, Type 2",KCNE3,1
"Diabetes Mellitus, Type 2",KCNH2,2
"Diabetes Mellitus, Type 2",KCNH4,1
"Diabetes Mellitus, Type 2",KCNH7,2
"Diabetes Mellitus, Type 2",KCNH8,1
"Diabetes Mellitus, Type 2",KCNIP1,3
"Diabetes Mellitus, Type 2",KCNJ1,3
"Diabetes Mellitus, Type 2",KCNJ10,1
"Diabetes Mellitus, Type 2",Kcnj11,1
"Diabetes Mellitus, Type 2",KCNJ11,162
"Diabetes Mellitus, Type 2",KCNJ15,2
"Diabetes Mellitus, Type 2",KCNJ2,1
"Diabetes Mellitus, Type 2",KCNJ9,1
"Diabetes Mellitus, Type 2",KCNK16,2
"Diabetes Mellitus, Type 2",KCNK2,1
"Diabetes Mellitus, Type 2",KCNK3,2
"Diabetes Mellitus, Type 2",KCNK4,1
"Diabetes Mellitus, Type 2",KCNK9,1
"Diabetes Mellitus, Type 2",KCNMB1,1
"Diabetes Mellitus, Type 2",KCNN2,1
"Diabetes Mellitus, Type 2",KCNN3,1
"Diabetes Mellitus, Type 2",KCNQ1,131
"Diabetes Mellitus, Type 2",Kcnq1,1
"Diabetes Mellitus, Type 2",KCNQ3,1
"Diabetes Mellitus, Type 2",KCNQ5,1
"Diabetes Mellitus, Type 2",KCTD12,1
"Diabetes Mellitus, Type 2",KCTD15,10
"Diabetes Mellitus, Type 2",KCTD8,1
"Diabetes Mellitus, Type 2",KDR,6
"Diabetes Mellitus, Type 2",KHK,1
"Diabetes Mellitus, Type 2",KIAA0020,3
"Diabetes Mellitus, Type 2",KIAA0664,1
"Diabetes Mellitus, Type 2",KIAA0748,1
"Diabetes Mellitus, Type 2",KIAA1430,1
"Diabetes Mellitus, Type 2",KIAA1486,1
"Diabetes Mellitus, Type 2",KIAA1671,1
"Diabetes Mellitus, Type 2",KIF11,7
"Diabetes Mellitus, Type 2",KIF3A,1
"Diabetes Mellitus, Type 2",KIF5A,1
"Diabetes Mellitus, Type 2",KIF6,2
"Diabetes Mellitus, Type 2",KIFC3,1
"Diabetes Mellitus, Type 2",KIR2DL1,2
"Diabetes Mellitus, Type 2",KIR2DL2,1
"Diabetes Mellitus, Type 2",KIR2DL3,3
"Diabetes Mellitus, Type 2",KIR2DL4,1
"Diabetes Mellitus, Type 2",KIR2DL5A,1
"Diabetes Mellitus, Type 2",KIR2DL5B,1
"Diabetes Mellitus, Type 2",KIR2DS1,1
"Diabetes Mellitus, Type 2",KIR2DS2,1
"Diabetes Mellitus, Type 2",KIR2DS3,1
"Diabetes Mellitus, Type 2",KIR2DS4,3
"Diabetes Mellitus, Type 2",KIR2DS5,1
"Diabetes Mellitus, Type 2",KIR3DL1,1
"Diabetes Mellitus, Type 2",KIR3DL2,1
"Diabetes Mellitus, Type 2",KIR3DL3,1
"Diabetes Mellitus, Type 2",KIR3DS1,1
"Diabetes Mellitus, Type 2",KIRREL2,1
"Diabetes Mellitus, Type 2",KITLG,1
"Diabetes Mellitus, Type 2",KL,2
"Diabetes Mellitus, Type 2",KLC1,1
"Diabetes Mellitus, Type 2",KLC3,1
"Diabetes Mellitus, Type 2",KLF1,1
"Diabetes Mellitus, Type 2",KLF10,1
"Diabetes Mellitus, Type 2",KLF11,7
"Diabetes Mellitus, Type 2",KLF12,1
"Diabetes Mellitus, Type 2",KLF13,1
"Diabetes Mellitus, Type 2",KLF14,13
"Diabetes Mellitus, Type 2",KLF15,3
"Diabetes Mellitus, Type 2",KLF16,2
"Diabetes Mellitus, Type 2",KLF2,2
"Diabetes Mellitus, Type 2",KLF3,2
"Diabetes Mellitus, Type 2",KLF4,2
"Diabetes Mellitus, Type 2",KLF5,2
"Diabetes Mellitus, Type 2",KLF6,1
"Diabetes Mellitus, Type 2",KLF7,3
"Diabetes Mellitus, Type 2",KLF8,1
"Diabetes Mellitus, Type 2",KLF9,1
"Diabetes Mellitus, Type 2",KLHDC1,1
"Diabetes Mellitus, Type 2",KLHDC5,3
"Diabetes Mellitus, Type 2",KLHDC7A,1
"Diabetes Mellitus, Type 2",KLHL29,1
"Diabetes Mellitus, Type 2",KLK1,1
"Diabetes Mellitus, Type 2",KLK15,1
"Diabetes Mellitus, Type 2",KLK2,1
"Diabetes Mellitus, Type 2",KLK3,1
"Diabetes Mellitus, Type 2",KNG1,3
"Diabetes Mellitus, Type 2",KRR1,1
"Diabetes Mellitus, Type 2",KRT8,1
"Diabetes Mellitus, Type 2",KSR2,1
"Diabetes Mellitus, Type 2",L1CAM,1
"Diabetes Mellitus, Type 2",L3MBTL3,1
"Diabetes Mellitus, Type 2",L3MBTL4,1
"Diabetes Mellitus, Type 2",LACE1,1
"Diabetes Mellitus, Type 2",LAD1,2
"Diabetes Mellitus, Type 2",LAMA1,5
"Diabetes Mellitus, Type 2",LAMA4,1
"Diabetes Mellitus, Type 2",LAMA5,1
"Diabetes Mellitus, Type 2",LAMC3,1
"Diabetes Mellitus, Type 2",LAMP2,1
"Diabetes Mellitus, Type 2",LAMP3,1
"Diabetes Mellitus, Type 2",LARGE,1
"Diabetes Mellitus, Type 2",LARP6,1
"Diabetes Mellitus, Type 2",LARS2,2
"Diabetes Mellitus, Type 2",LAT,1
"Diabetes Mellitus, Type 2",LBH,1
"Diabetes Mellitus, Type 2",LBP,1
"Diabetes Mellitus, Type 2",LBR,1
"Diabetes Mellitus, Type 2",LCAT,5
"Diabetes Mellitus, Type 2",LCORL,2
"Diabetes Mellitus, Type 2",LCP1,1
"Diabetes Mellitus, Type 2",LCT,4
"Diabetes Mellitus, Type 2",LDLR,10
"Diabetes Mellitus, Type 2",LDLRAP1,1
"Diabetes Mellitus, Type 2",LEFTY1,1
"Diabetes Mellitus, Type 2",LEKR1,1
"Diabetes Mellitus, Type 2",LEP,23
"Diabetes Mellitus, Type 2",LEPR,36
"Diabetes Mellitus, Type 2",LEPROT,3
"Diabetes Mellitus, Type 2",LGALS1,1
"Diabetes Mellitus, Type 2",LGALS2,1
"Diabetes Mellitus, Type 2",LGALS3,1
"Diabetes Mellitus, Type 2",LGR5,23
"Diabetes Mellitus, Type 2",LHCGR,1
"Diabetes Mellitus, Type 2",LHFPL3,1
"Diabetes Mellitus, Type 2",LHPP,1
"Diabetes Mellitus, Type 2",LIF,1
"Diabetes Mellitus, Type 2",LIFR,1
"Diabetes Mellitus, Type 2",LIG1,1
"Diabetes Mellitus, Type 2",LILRB1,1
"Diabetes Mellitus, Type 2",LILRB3,1
"Diabetes Mellitus, Type 2",LIMK2,2
"Diabetes Mellitus, Type 2",LIN28A,1
"Diabetes Mellitus, Type 2",LIN28B,1
"Diabetes Mellitus, Type 2",LIN7C,1
"Diabetes Mellitus, Type 2",LIPA,1
"Diabetes Mellitus, Type 2",LIPC,27
"Diabetes Mellitus, Type 2",LIPE,4
"Diabetes Mellitus, Type 2",LIPF,1
"Diabetes Mellitus, Type 2",LIPG,5
"Diabetes Mellitus, Type 2",LLGL1,1
"Diabetes Mellitus, Type 2",LMAN1,1
"Diabetes Mellitus, Type 2",LMNA,13
"Diabetes Mellitus, Type 2",LMNB1,1
"Diabetes Mellitus, Type 2",LMNB2,1
"Diabetes Mellitus, Type 2",LMOD1,1
"Diabetes Mellitus, Type 2",LMX1A,1
"Diabetes Mellitus, Type 2",LMX1B,1
"Diabetes Mellitus, Type 2",LOC100127899,1
"Diabetes Mellitus, Type 2",LOC100127913,1
"Diabetes Mellitus, Type 2",LOC100127944,1
"Diabetes Mellitus, Type 2",LOC100127946,1
"Diabetes Mellitus, Type 2",LOC100128095,1
"Diabetes Mellitus, Type 2",LOC100128994,1
"Diabetes Mellitus, Type 2",LOC100129500,1
"Diabetes Mellitus, Type 2",LOC100129619,1
"Diabetes Mellitus, Type 2",LOC100129623,1
"Diabetes Mellitus, Type 2",LOC100129652,1
"Diabetes Mellitus, Type 2",LOC100129720,1
"Diabetes Mellitus, Type 2",LOC100129857,1
"Diabetes Mellitus, Type 2",LOC100130116,1
"Diabetes Mellitus, Type 2",LOC100130288,1
"Diabetes Mellitus, Type 2",LOC100130476,1
"Diabetes Mellitus, Type 2",LOC100130859,1
"Diabetes Mellitus, Type 2",LOC100131311,1
"Diabetes Mellitus, Type 2",LOC100131540,1
"Diabetes Mellitus, Type 2",LOC100131646,1
"Diabetes Mellitus, Type 2",LOC100131673,1
"Diabetes Mellitus, Type 2",LOC100131774,1
"Diabetes Mellitus, Type 2",LOC100131778,1
"Diabetes Mellitus, Type 2",LOC100131909,1
"Diabetes Mellitus, Type 2",LOC100132839,1
"Diabetes Mellitus, Type 2",LOC100133070,1
"Diabetes Mellitus, Type 2",LOC100133511,1
"Diabetes Mellitus, Type 2",LOC100133949,1
"Diabetes Mellitus, Type 2",LOC100134017,1
"Diabetes Mellitus, Type 2",LOC100286880,1
"Diabetes Mellitus, Type 2",LOC100286919,1
"Diabetes Mellitus, Type 2",LOC100286983,1
"Diabetes Mellitus, Type 2",LOC100287002,1
"Diabetes Mellitus, Type 2",LOC100287015,1
"Diabetes Mellitus, Type 2",LOC100287123,1
"Diabetes Mellitus, Type 2",LOC100287132,1
"Diabetes Mellitus, Type 2",LOC100287133,1
"Diabetes Mellitus, Type 2",LOC100287143,1
"Diabetes Mellitus, Type 2",LOC100287174,1
"Diabetes Mellitus, Type 2",LOC100287206,1
"Diabetes Mellitus, Type 2",LOC100287237,1
"Diabetes Mellitus, Type 2",LOC100287239,1
"Diabetes Mellitus, Type 2",LOC100287253,1
"Diabetes Mellitus, Type 2",LOC100287255,1
"Diabetes Mellitus, Type 2",LOC100287264,1
"Diabetes Mellitus, Type 2",LOC100287322,1
"Diabetes Mellitus, Type 2",LOC100287376,1
"Diabetes Mellitus, Type 2",LOC100287380,1
"Diabetes Mellitus, Type 2",LOC100287391,1
"Diabetes Mellitus, Type 2",LOC100287398,1
"Diabetes Mellitus, Type 2",LOC100287415,1
"Diabetes Mellitus, Type 2",LOC100287442,1
"Diabetes Mellitus, Type 2",LOC100287504,1
"Diabetes Mellitus, Type 2",LOC100287550,1
"Diabetes Mellitus, Type 2",LOC100287611,1
"Diabetes Mellitus, Type 2",LOC100287659,1
"Diabetes Mellitus, Type 2",LOC100287661,1
"Diabetes Mellitus, Type 2",LOC100287744,1
"Diabetes Mellitus, Type 2",LOC100287761,1
"Diabetes Mellitus, Type 2",LOC100287770,1
"Diabetes Mellitus, Type 2",LOC100287776,1
"Diabetes Mellitus, Type 2",LOC100287805,1
"Diabetes Mellitus, Type 2",LOC100287830,1
"Diabetes Mellitus, Type 2",LOC100287870,1
"Diabetes Mellitus, Type 2",LOC100287972,1
"Diabetes Mellitus, Type 2",LOC100287976,1
"Diabetes Mellitus, Type 2",LOC100287997,1
"Diabetes Mellitus, Type 2",LOC100288045,1
"Diabetes Mellitus, Type 2",LOC100288047,1
"Diabetes Mellitus, Type 2",LOC100288068,1
"Diabetes Mellitus, Type 2",LOC100288077,1
"Diabetes Mellitus, Type 2",LOC100288128,1
"Diabetes Mellitus, Type 2",LOC100288133,1
"Diabetes Mellitus, Type 2",LOC100288152,1
"Diabetes Mellitus, Type 2",LOC100288183,1
"Diabetes Mellitus, Type 2",LOC100288204,1
"Diabetes Mellitus, Type 2",LOC100288205,1
"Diabetes Mellitus, Type 2",LOC100288213,1
"Diabetes Mellitus, Type 2",LOC100288270,1
"Diabetes Mellitus, Type 2",LOC100288312,1
"Diabetes Mellitus, Type 2",LOC100288344,1
"Diabetes Mellitus, Type 2",LOC100288346,1
"Diabetes Mellitus, Type 2",LOC100288353,1
"Diabetes Mellitus, Type 2",LOC100288387,1
"Diabetes Mellitus, Type 2",LOC100288400,1
"Diabetes Mellitus, Type 2",LOC100288432,1
"Diabetes Mellitus, Type 2",LOC100288449,1
"Diabetes Mellitus, Type 2",LOC100288457,1
"Diabetes Mellitus, Type 2",LOC100288535,1
"Diabetes Mellitus, Type 2",LOC100288545,1
"Diabetes Mellitus, Type 2",LOC100288581,1
"Diabetes Mellitus, Type 2",LOC100288589,1
"Diabetes Mellitus, Type 2",LOC100288722,1
"Diabetes Mellitus, Type 2",LOC100288791,1
"Diabetes Mellitus, Type 2",LOC100288795,1
"Diabetes Mellitus, Type 2",LOC100288810,1
"Diabetes Mellitus, Type 2",LOC100288912,1
"Diabetes Mellitus, Type 2",LOC100288941,1
"Diabetes Mellitus, Type 2",LOC100288985,1
"Diabetes Mellitus, Type 2",LOC100288992,1
"Diabetes Mellitus, Type 2",LOC100289003,1
"Diabetes Mellitus, Type 2",LOC100289010,1
"Diabetes Mellitus, Type 2",LOC100289011,1
"Diabetes Mellitus, Type 2",LOC100289065,1
"Diabetes Mellitus, Type 2",LOC100289107,1
"Diabetes Mellitus, Type 2",LOC100289130,1
"Diabetes Mellitus, Type 2",LOC100289153,1
"Diabetes Mellitus, Type 2",LOC100289223,1
"Diabetes Mellitus, Type 2",LOC100289233,1
"Diabetes Mellitus, Type 2",LOC100289235,1
"Diabetes Mellitus, Type 2",LOC100289251,1
"Diabetes Mellitus, Type 2",LOC100289309,1
"Diabetes Mellitus, Type 2",LOC100289314,1
"Diabetes Mellitus, Type 2",LOC100289329,1
"Diabetes Mellitus, Type 2",LOC100289398,1
"Diabetes Mellitus, Type 2",LOC100289437,1
"Diabetes Mellitus, Type 2",LOC100289447,1
"Diabetes Mellitus, Type 2",LOC100289461,1
"Diabetes Mellitus, Type 2",LOC100289552,1
"Diabetes Mellitus, Type 2",LOC100289577,1
"Diabetes Mellitus, Type 2",LOC100289609,1
"Diabetes Mellitus, Type 2",LOC100289982,1
"Diabetes Mellitus, Type 2",LOC100290016,1
"Diabetes Mellitus, Type 2",LOC100290084,1
"Diabetes Mellitus, Type 2",LOC100290144,1
"Diabetes Mellitus, Type 2",LOC100290264,1
"Diabetes Mellitus, Type 2",LOC100290498,1
"Diabetes Mellitus, Type 2",LOC100290634,1
"Diabetes Mellitus, Type 2",LOC100290665,1
"Diabetes Mellitus, Type 2",LOC100290747,1
"Diabetes Mellitus, Type 2",LOC100290913,1
"Diabetes Mellitus, Type 2",LOC100291014,1
"Diabetes Mellitus, Type 2",LOC100291029,1
"Diabetes Mellitus, Type 2",LOC100291317,1
"Diabetes Mellitus, Type 2",LOC100291596,1
"Diabetes Mellitus, Type 2",LOC100291664,1
"Diabetes Mellitus, Type 2",LOC100291860,1
"Diabetes Mellitus, Type 2",LOC100291870,1
"Diabetes Mellitus, Type 2",LOC100292018,1
"Diabetes Mellitus, Type 2",LOC100292080,1
"Diabetes Mellitus, Type 2",LOC100292100,1
"Diabetes Mellitus, Type 2",LOC100292154,1
"Diabetes Mellitus, Type 2",LOC100292257,1
"Diabetes Mellitus, Type 2",LOC100292270,1
"Diabetes Mellitus, Type 2",LOC100292381,1
"Diabetes Mellitus, Type 2",LOC100292420,1
"Diabetes Mellitus, Type 2",LOC100292463,1
"Diabetes Mellitus, Type 2",LOC100292503,1
"Diabetes Mellitus, Type 2",LOC100292519,1
"Diabetes Mellitus, Type 2",LOC100292553,1
"Diabetes Mellitus, Type 2",LOC100292696,1
"Diabetes Mellitus, Type 2",LOC100292782,1
"Diabetes Mellitus, Type 2",LOC100292825,1
"Diabetes Mellitus, Type 2",LOC100293006,1
"Diabetes Mellitus, Type 2",LOC100293050,1
"Diabetes Mellitus, Type 2",LOC100293186,1
"Diabetes Mellitus, Type 2",LOC100293322,1
"Diabetes Mellitus, Type 2",LOC100293352,1
"Diabetes Mellitus, Type 2",LOC100293367,1
"Diabetes Mellitus, Type 2",LOC100293428,1
"Diabetes Mellitus, Type 2",LOC100293435,1
"Diabetes Mellitus, Type 2",LOC100293499,1
"Diabetes Mellitus, Type 2",LOC100293622,1
"Diabetes Mellitus, Type 2",LOC100293638,1
"Diabetes Mellitus, Type 2",LOC100293689,1
"Diabetes Mellitus, Type 2",LOC100293737,1
"Diabetes Mellitus, Type 2",LOC100293959,1
"Diabetes Mellitus, Type 2",LOC100293975,1
"Diabetes Mellitus, Type 2",LOC100294096,1
"Diabetes Mellitus, Type 2",LOC100294106,1
"Diabetes Mellitus, Type 2",LOC100294113,1
"Diabetes Mellitus, Type 2",LOC100294116,1
"Diabetes Mellitus, Type 2",LOC100294128,1
"Diabetes Mellitus, Type 2",LOC100294135,1
"Diabetes Mellitus, Type 2",LOC100294146,1
"Diabetes Mellitus, Type 2",LOC100294154,1
"Diabetes Mellitus, Type 2",LOC100294156,1
"Diabetes Mellitus, Type 2",LOC100294159,1
"Diabetes Mellitus, Type 2",LOC100294163,1
"Diabetes Mellitus, Type 2",LOC100294183,1
"Diabetes Mellitus, Type 2",LOC100294184,1
"Diabetes Mellitus, Type 2",LOC100294185,1
"Diabetes Mellitus, Type 2",LOC100294187,1
"Diabetes Mellitus, Type 2",LOC100294192,1
"Diabetes Mellitus, Type 2",LOC100294209,1
"Diabetes Mellitus, Type 2",LOC100294213,1
"Diabetes Mellitus, Type 2",LOC100294218,1
"Diabetes Mellitus, Type 2",LOC100294219,1
"Diabetes Mellitus, Type 2",LOC100294220,1
"Diabetes Mellitus, Type 2",LOC100294223,1
"Diabetes Mellitus, Type 2",LOC100294225,1
"Diabetes Mellitus, Type 2",LOC100294248,1
"Diabetes Mellitus, Type 2",LOC100294257,1
"Diabetes Mellitus, Type 2",LOC100294262,1
"Diabetes Mellitus, Type 2",LOC100294268,1
"Diabetes Mellitus, Type 2",LOC100294270,1
"Diabetes Mellitus, Type 2",LOC100294271,1
"Diabetes Mellitus, Type 2",LOC100294274,1
"Diabetes Mellitus, Type 2",LOC100294279,1
"Diabetes Mellitus, Type 2",LOC100294309,1
"Diabetes Mellitus, Type 2",LOC100294311,1
"Diabetes Mellitus, Type 2",LOC100294312,1
"Diabetes Mellitus, Type 2",LOC100294315,1
"Diabetes Mellitus, Type 2",LOC100294319,1
"Diabetes Mellitus, Type 2",LOC100294358,1
"Diabetes Mellitus, Type 2",LOC100294369,1
"Diabetes Mellitus, Type 2",LOC100294372,1
"Diabetes Mellitus, Type 2",LOC100294386,1
"Diabetes Mellitus, Type 2",LOC100294416,1
"Diabetes Mellitus, Type 2",LOC100294438,1
"Diabetes Mellitus, Type 2",LOC100294439,1
"Diabetes Mellitus, Type 2",LOC100294450,1
"Diabetes Mellitus, Type 2",LOC100505573,1
"Diabetes Mellitus, Type 2",LOC100505832,1
"Diabetes Mellitus, Type 2",LOC100505933,1
"Diabetes Mellitus, Type 2",LOC100506403,1
"Diabetes Mellitus, Type 2",LOC284454,1
"Diabetes Mellitus, Type 2",LOC284889,1
"Diabetes Mellitus, Type 2",LOC285501,1
"Diabetes Mellitus, Type 2",LOC387761,3
"Diabetes Mellitus, Type 2",LOC400682,1
"Diabetes Mellitus, Type 2",LOC644662,1
"Diabetes Mellitus, Type 2",LOC645722,1
"Diabetes Mellitus, Type 2",LOC647055,1
"Diabetes Mellitus, Type 2",LOC728734,1
"Diabetes Mellitus, Type 2",LOC729526,1
"Diabetes Mellitus, Type 2",LOC729991,1
"Diabetes Mellitus, Type 2",LOC729991-MEF2B,1
"Diabetes Mellitus, Type 2",LOC730011,1
"Diabetes Mellitus, Type 2",LOC732146,1
"Diabetes Mellitus, Type 2",LOC732419,1
"Diabetes Mellitus, Type 2",LOXL1,1
"Diabetes Mellitus, Type 2",LPA,7
"Diabetes Mellitus, Type 2",LPAL2,2
"Diabetes Mellitus, Type 2",LPAR1,1
"Diabetes Mellitus, Type 2",LPCAT2,1
"Diabetes Mellitus, Type 2",LPGAT1,1
"Diabetes Mellitus, Type 2",LPIN1,7
"Diabetes Mellitus, Type 2",LPIN2,1
"Diabetes Mellitus, Type 2",LPL,37
"Diabetes Mellitus, Type 2",LPP,1
"Diabetes Mellitus, Type 2",LPXN,1
"Diabetes Mellitus, Type 2",LRGUK,1
"Diabetes Mellitus, Type 2",LRP1,1
"Diabetes Mellitus, Type 2",LRP2,2
"Diabetes Mellitus, Type 2",Lrp2,1
"Diabetes Mellitus, Type 2",LRP5,6
"Diabetes Mellitus, Type 2",LRP6,2
"Diabetes Mellitus, Type 2",LRP8,1
"Diabetes Mellitus, Type 2",LRPAP1,2
"Diabetes Mellitus, Type 2",LRRC16A,2
"Diabetes Mellitus, Type 2",LRRC31,2
"Diabetes Mellitus, Type 2",LRSAM1,1
"Diabetes Mellitus, Type 2",LSM2,1
"Diabetes Mellitus, Type 2",LSP1,1
"Diabetes Mellitus, Type 2",LSS,1
"Diabetes Mellitus, Type 2",LST1,1
"Diabetes Mellitus, Type 2",LTA,20
"Diabetes Mellitus, Type 2",LTA4H,2
"Diabetes Mellitus, Type 2",LTB,1
"Diabetes Mellitus, Type 2",LTB4R,1
"Diabetes Mellitus, Type 2",LTBP4,1
"Diabetes Mellitus, Type 2",LTC4S,2
"Diabetes Mellitus, Type 2",LTF,1
"Diabetes Mellitus, Type 2",LUC7L,1
"Diabetes Mellitus, Type 2",LUM,1
"Diabetes Mellitus, Type 2",Lvis1,1
"Diabetes Mellitus, Type 2",LY6G5B,1
"Diabetes Mellitus, Type 2",LY6G6C,1
"Diabetes Mellitus, Type 2",LY75,1
"Diabetes Mellitus, Type 2",LY86,1
"Diabetes Mellitus, Type 2",LY96,1
"Diabetes Mellitus, Type 2",LYN,1
"Diabetes Mellitus, Type 2",LYPD5,1
"Diabetes Mellitus, Type 2",LYPLAL1,6
"Diabetes Mellitus, Type 2",LYRM4,1
"Diabetes Mellitus, Type 2",LYZL1,2
"Diabetes Mellitus, Type 2",LZIC,1
"Diabetes Mellitus, Type 2",MACF1,2
"Diabetes Mellitus, Type 2",MADD,13
"Diabetes Mellitus, Type 2",MAEA,3
"Diabetes Mellitus, Type 2",MAF,7
"Diabetes Mellitus, Type 2",MAFA,1
"Diabetes Mellitus, Type 2",Mageb1,1
"Diabetes Mellitus, Type 2",MAGEL2,1
"Diabetes Mellitus, Type 2",MAGI2,2
"Diabetes Mellitus, Type 2",MALT1,1
"Diabetes Mellitus, Type 2",MAML1,1
"Diabetes Mellitus, Type 2",MAN2A1,1
"Diabetes Mellitus, Type 2",MAOA,2
"Diabetes Mellitus, Type 2",MAOB,2
"Diabetes Mellitus, Type 2",MAP1D,1
"Diabetes Mellitus, Type 2",MAP2,1
"Diabetes Mellitus, Type 2",MAP2K4,1
"Diabetes Mellitus, Type 2",MAP2K5,2
"Diabetes Mellitus, Type 2",MAP2K6,1
"Diabetes Mellitus, Type 2",MAP3K1,3
"Diabetes Mellitus, Type 2",MAP3K3,1
"Diabetes Mellitus, Type 2",MAP3K5,2
"Diabetes Mellitus, Type 2",MAP3K6,1
"Diabetes Mellitus, Type 2",MAP4K2,1
"Diabetes Mellitus, Type 2",MAP4K3,1
"Diabetes Mellitus, Type 2",MAP4K4,2
"Diabetes Mellitus, Type 2",MAP7,1
"Diabetes Mellitus, Type 2",MAPK1,1
"Diabetes Mellitus, Type 2",MAPK11,2
"Diabetes Mellitus, Type 2",MAPK12,1
"Diabetes Mellitus, Type 2",MAPK13,1
"Diabetes Mellitus, Type 2",MAPK14,3
"Diabetes Mellitus, Type 2",MAPK7,1
"Diabetes Mellitus, Type 2",MAPK8,3
"Diabetes Mellitus, Type 2",MAPK8IP3,1
"Diabetes Mellitus, Type 2",MAPK9,1
"Diabetes Mellitus, Type 2",MAPKAP1,1
"Diabetes Mellitus, Type 2",MAPKAPK3,1
"Diabetes Mellitus, Type 2",MAPKBP1,1
"Diabetes Mellitus, Type 2",MAPT,1
"Diabetes Mellitus, Type 2",MARCH8,1
"Diabetes Mellitus, Type 2",MARCH9,1
"Diabetes Mellitus, Type 2",MARS,1
"Diabetes Mellitus, Type 2",MARVELD2,1
"Diabetes Mellitus, Type 2",MAS1,1
"Diabetes Mellitus, Type 2",MASP1,1
"Diabetes Mellitus, Type 2",MASP2,2
"Diabetes Mellitus, Type 2",MAT1A,2
"Diabetes Mellitus, Type 2",MAT2A,1
"Diabetes Mellitus, Type 2",MAT2B,1
"Diabetes Mellitus, Type 2",MATN2,1
"Diabetes Mellitus, Type 2",MAX,1
"Diabetes Mellitus, Type 2",MBL2,10
"Diabetes Mellitus, Type 2",MBLAC1,1
"Diabetes Mellitus, Type 2",MBTPS1,1
"Diabetes Mellitus, Type 2",MC2R,1
"Diabetes Mellitus, Type 2",MC3R,3
"Diabetes Mellitus, Type 2",MC4R,42
"Diabetes Mellitus, Type 2",MC5R,3
"Diabetes Mellitus, Type 2",MCCC1,1
"Diabetes Mellitus, Type 2",MCF2L2,1
"Diabetes Mellitus, Type 2",MCHR1,2
"Diabetes Mellitus, Type 2",MCHR2,1
"Diabetes Mellitus, Type 2",MCL1,1
"Diabetes Mellitus, Type 2",MCM10,1
"Diabetes Mellitus, Type 2",MCM8,1
"Diabetes Mellitus, Type 2",MCTP2,1
"Diabetes Mellitus, Type 2",MDGA2,1
"Diabetes Mellitus, Type 2",Mdm4,1
"Diabetes Mellitus, Type 2",ME2,1
"Diabetes Mellitus, Type 2",ME3,1
"Diabetes Mellitus, Type 2",MECP2,1
"Diabetes Mellitus, Type 2",MED1,1
"Diabetes Mellitus, Type 2",MED12L,1
"Diabetes Mellitus, Type 2",MED22,1
"Diabetes Mellitus, Type 2",MED23,1
"Diabetes Mellitus, Type 2",MEF2A,2
"Diabetes Mellitus, Type 2",MEF2B,1
"Diabetes Mellitus, Type 2",MEF2C,1
"Diabetes Mellitus, Type 2",MEF2D,2
"Diabetes Mellitus, Type 2",MEFV,1
"Diabetes Mellitus, Type 2",MEG3,1
"Diabetes Mellitus, Type 2",MEIS1,1
"Diabetes Mellitus, Type 2",MEIS2,1
"Diabetes Mellitus, Type 2",Meis2,1
"Diabetes Mellitus, Type 2",MEN1,1
"Diabetes Mellitus, Type 2",METTL1,1
"Diabetes Mellitus, Type 2",MFAP1,1
"Diabetes Mellitus, Type 2",MFAP2,1
"Diabetes Mellitus, Type 2",MFAP3,1
"Diabetes Mellitus, Type 2",MFN2,2
"Diabetes Mellitus, Type 2",MGAM,1
"Diabetes Mellitus, Type 2",MGAT4B,1
"Diabetes Mellitus, Type 2",MGAT5B,1
"Diabetes Mellitus, Type 2",MGEA5,4
"Diabetes Mellitus, Type 2",MGLL,2
"Diabetes Mellitus, Type 2",MGMT,2
"Diabetes Mellitus, Type 2",MGP,2
"Diabetes Mellitus, Type 2",MIA3,1
"Diabetes Mellitus, Type 2",MICA,3
"Diabetes Mellitus, Type 2",MICAL1,1
"Diabetes Mellitus, Type 2",MICC,1
